ADD Rm,Rn 0011nnnnmmmm1100
ADD i,Rn 0111nnnniiiiiiii
ADDC Rm,Rn 0011nnnnmmmm1110
ADDV Rm,Rn 0011nnnnmmmm1111
AND Rm,Rn 0010nnnnmmmm1001
AND i,R0 11001001iiiiiiii
AND.B i,@(R0,GBR) 11001101iiiiiiii
#no_mutate #signed_disp #call #jmp BF d 10001011dddddddd
#no_mutate #signed_disp #delay #call #jmp BF/S d 10001111dddddddd
#no_mutate #signed_disp #delay #jmp BRA d 1010dddddddddddd
#no_mutate #signed_disp #delay #rjmp #jmp BRAF Rn 0000nnnn00100011
#no_mutate #signed_disp #call #jmp BSR d 1011dddddddddddd
#no_mutate #signed_disp #rjmp #call #jmp BSRF Rn 0000nnnn00000011
#no_mutate #signed_disp #call #jmp BT d 10001001dddddddd
#no_mutate #signed_disp #delay #call #jmp BT/S d 10001101dddddddd
CLRMAC 0000000000101000
CLRS 0000000001001000
CLRT 0000000000001000
#no_mutate CMP/EQ Rm,Rn 0011nnnnmmmm0000
#no_mutate CMP/GE Rm,Rn 0011nnnnmmmm0011
#no_mutate CMP/GT Rm,Rn 0011nnnnmmmm0111
#no_mutate CMP/HI Rm,Rn 0011nnnnmmmm0110
#no_mutate CMP/HS Rm,Rn 0011nnnnmmmm0010
#no_mutate CMP/PL Rn 0100nnnn00010101
#no_mutate CMP/PZ Rn 0100nnnn00010001
#no_mutate CMP/STR Rm,Rn 0010nnnnmmmm1100
#no_mutate CMP/EQ i,R0 10001000iiiiiiii
DIV0S Rm,Rn 0010nnnnmmmm0111
DIV0U 0000000000011001
DIV1 Rm,Rn 0011nnnnmmmm0100
DMULS.L Rm,Rn 0011nnnnmmmm1101
DMULU.L Rm,Rn 0011nnnnmmmm0101
DT Rn 0100nnnn00010000
EXTS.B Rm,Rn 0110nnnnmmmm1110
EXTS.W Rm,Rn 0110nnnnmmmm1111
EXTU.B Rm,Rn 0110nnnnmmmm1100
EXTU.W Rm,Rn 0110nnnnmmmm1101
FABS FRn 1111nnnn01011101
FABS DRn 1111nnn001011101
FADD FRm,FRn 1111nnnnmmmm0000
FADD DRm,DRn 1111nnn0mmm00000
FCMP/EQ FRm,FRn 1111nnnnmmmm0100
